player_id,player_name
6475,klay-thompson
4401416,juan-toscano-anderson
6507,brad-wanamaker
3059319,andrew-wiggins
4432808,james-wiseman
3057187,sterling-brown
3113297,bruno-caboclo
3970,demarre-carroll
984,tyson-chandler
3906603,chris-clemons
2490620,robert-covington
2991255,michael-frazier
3431,eric-gordon
3992,james-harden
2991155,danuel-house-jr
4237239,william-howard
4395704,mason-jones
4431828,kenyon-martin-jr
3451,luc-mbah-a-moute
2578213,ben-mclemore
3062744,david-nwaba
4409222,trevelin-queen
3028,thabo-sefolosha
3033,pj-tucker
3468,russell-westbrook
3058254,christian-wood
4278509,kenny-wooten
4348700,goga-bitadze
4277882,brian-bowen-ii
2566769,malcolm-brogdon
3922230,aaron-holiday
2284101,justin-holiday
4067045,alize-johnson
6603,jeremy-lamb
4066425,tj-leaf
2530530,tj-mcconnell
2528588,doug-mcdermott
2990968,naz-mitrou-long
2527963,victor-oladipo
3155942,domantas-sabonis
2608891,jakarr-sampson
4431686,cassius-stanley
3136485,edmond-sumner
3133628,myles-turner
2982334,tj-warren
3964,patrick-beverley
4066387,amir-coffey
4066467,malik-fitts
4066736,jordan-ford
4251,paul-george
6443,reggie-jackson
4065660,mfiondu-kabengele
3913174,luke-kennard
6450,kawhi-leonard
3907823,terance-mann
6462,marcus-morris-sr
3059306,johnathan-motley
3224,joakim-noah
4397215,daniel-oturu
4264,patrick-patterson
3912332,justin-patton
4396959,reggie-perry
2799,lou-williams
4017837,ivica-zubac
3135045,grayson-allen
2993874,kyle-anderson
4066320,desmond-bane
3155526,dillon-brooks
3906665,brandon-clarke
2534781,gorgui-dieng
4230554,marko-guduric
2995706,mario-hezonja
4066297,josh-jackson
4277961,jaren-jackson-jr
3135046,tyus-jones
3134932,john-konchar
3908903,sean-mcdermott
4066436,deanthony-melton
4279888,ja-morant
4278103,jontay-porter
4066651,killian-tillie
4277964,xavier-tillman-sr
3276,anthony-tolliver
4285659,jahlil-tripp
6477,jonas-valanciunas
